*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Gatenmal
*Date=23:37:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
178;;;10.4716;-32.2266;-90;Bottom;TXT3
179;;;64.8404;-39.4333;0;Bottom;Hole95
180;;;26.7406;-1.33318;0;Bottom;Hole61
181;;;57.2207;-83.8832;0;Bottom;Hole87
182;;;6.19448;-81.2927;-90;Bottom;TXT3
183;;THT;24.2006;-77.5332;0;Bottom;J13
184;;;16.6878;-32.2266;-90;Bottom;TXT3
185;;;47.0607;-83.8832;0;Bottom;Hole73
186;;;39.4404;-1.33304;0;Bottom;Hole84
187;;;3.7484;-65.3778;-90;Bottom;TXT3
188;;;52.3965;-13.8847;-90;Bottom;TXT3
189;;;1.34037;-1.33308;0;Bottom;Hole69
190;;THT;19.1206;-49.5932;0;Bottom;J62
191;;;72.7055;-16.2243;-90;Bottom;TXT3
192;;;8.91454;-73.8396;-90;Bottom;TXT3
193;;;3.82477;-23.2429;-90;Bottom;TXT3
194;;THT;26.7406;-83.8832;0;Bottom;J3
195;;;44.669;-23.2429;-90;Bottom;TXT3
196;;;31.8206;-10.2231;0;Bottom;Hole132
197;;THT;64.8406;-69.9132;0;Bottom;J66
198;;THT;35.6306;-59.7532;0;Bottom;J46
199;;;14.1438;-4.44322;-90;Bottom;TXT3
200;;THT;8.96056;-77.5332;0;Bottom;J7
201;;;24.2827;-65.3778;-90;Bottom;TXT3
202;;;3.8053;-32.2266;-90;Bottom;TXT3
203;;;49.6006;-39.4331;0;Bottom;Hole98
204;;;3.92017;-13.8847;-90;Bottom;TXT3
205;;;24.3592;-23.2429;-90;Bottom;TXT3
206;;THT;57.2206;-49.5932;0;Bottom;J58
207;;;24.1085;-73.8396;-90;Bottom;TXT3
208;;;34.3605;-19.1132;0;Bottom;Hole118
209;;THT;14.0406;-69.9132;0;Bottom;J37
210;;;52.1404;-1.33304;0;Bottom;Hole79
211;;;64.9946;-16.2243;-90;Bottom;TXT3
212;;;57.2204;-1.33304;0;Bottom;Hole90
213;;;16.6858;-81.2927;-90;Bottom;TXT3
214;;THT;11.5006;-83.8832;0;Bottom;J20
215;;;34.402;-23.2429;-90;Bottom;TXT3
216;;;39.5729;-23.2429;-90;Bottom;TXT3
217;;;87.7886;-64.1376;-90;Bottom;TXT3
218;;;64.9125;-45.0578;-90;Bottom;TXT3
219;;;39.4407;-83.8832;0;Bottom;Hole76
220;;THT;3.88056;-83.8832;0;Bottom;J21
221;;THT;41.9806;-49.5932;0;Bottom;J56
222;;;64.8408;-10.2229;0;Bottom;Hole138
223;;;1.60961;-81.2927;-90;Bottom;TXT3
224;;;22.9306;-28.0031;0;Bottom;Hole102
225;;;34.2073;-81.2927;-90;Bottom;TXT3
226;;;3.88055;-39.4331;0;Bottom;Hole93
227;;;35.7863;-32.2266;-90;Bottom;TXT3
228;;;57.2764;-45.0578;-90;Bottom;TXT3
229;;THT;3.88056;-69.9132;0;Bottom;J35
230;;;19.2617;-65.3778;-90;Bottom;TXT3
231;;;42.0548;-13.8847;-90;Bottom;TXT3
232;;;87.7007;-10.2231;0;Bottom;Hole135
233;;;35.6307;-28.0031;0;Bottom;Hole110
234;;;80.3416;-16.2243;-90;Bottom;TXT3
235;;;24.1187;-13.8847;-90;Bottom;TXT3
236;;THT;87.7006;-69.9132;0;Bottom;J67
237;;;6.42051;-10.2232;0;Bottom;Hole124
238;;THT;49.6006;-69.9132;0;Bottom;J39
239;;THT;41.9806;-77.5332;0;Bottom;J32
240;;;72.5164;-64.1376;-90;Bottom;TXT3
241;;;13.9189;-73.8396;-90;Bottom;TXT3
242;;;49.5655;-45.0578;-90;Bottom;TXT3
243;;;6.42046;-1.33327;0;Bottom;Hole66
244;;;24.2005;-10.2232;0;Bottom;Hole121
245;;THT;29.2806;-69.9132;0;Bottom;J43
246;;;48.3305;-28.0032;0;Bottom;Hole107
247;;THT;29.2806;-83.8832;0;Bottom;J12
248;;;31.9258;-81.2927;-90;Bottom;TXT3
249;;;14.0908;-65.3778;-90;Bottom;TXT3
250;;;87.9777;-16.2243;-90;Bottom;TXT3
251;;;29.4197;-32.2266;-90;Bottom;TXT3
252;;;8.9606;-19.1131;0;Bottom;Hole116
253;;;54.6805;-28.0032;0;Bottom;Hole105
254;;;52.3864;-73.8396;-90;Bottom;TXT3
255;;;64.8055;-64.1376;-90;Bottom;TXT3
256;;;57.2207;-39.4331;0;Bottom;Hole97
257;;;3.88052;-19.1132;0;Bottom;Hole113
258;;;14.0406;-10.2231;0;Bottom;Hole127
259;;;20.3358;-73.8396;-90;Bottom;TXT3
260;;THT;16.5806;-59.7532;0;Bottom;J52
261;;;26.8817;-45.0578;-90;Bottom;TXT3
